#0.71875 2.261
#0.77153 2.624
#0.83773 3.168
#0.88371 3.530
#0.92388 3.894
1.84835 16.5359
1.92568 18.0243
1.94872 18.4797
2.10288 21.7010
2.10501 21.7492
2.14111 22.5465
2.14425 22.6170
2.14892 22.7211
2.17507 23.3115
2.26598 25.4328
2.26849 25.4921
2.27046 25.5384
2.31718 26.6725
2.38015 28.2451
2.40594 28.9049
2.42842 29.4861
2.43784 29.7323
2.57735 33.5168
2.58305 33.6769
2.62558 34.8885
2.64916 35.5721
2.65028 35.6057
2.84842 41.664
2.87327 42.469
2.89520 43.185
2.92857 44.288
2.95803 45.275
2.98924 46.340
2.99864 46.661
3.01038 47.068
3.04133 48.144
3.08275 49.616
3.11695 50.850
3.15015 52.068
3.17381 52.946
3.20743 54.212
3.32609 58.838
3.35637 60.058
3.55197 68.360
3.64268 72.455
3.66385 73.434
3.79040 79.485
3.84353 82.129
4.03106 91.968
4.25747 104.967
4.40709 114.286
4.52571 122.123
4.71728 135.661
5.00983 158.660
5.46405 200.90
5.47793 202.27
5.61007 216.50
5.70299 226.91
6.23102 295.65
6.40686 322.76
6.42305 325.3
6.65834 365.6
6.67533 368.6
6.68746 370.9
